,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG [KJ/mol]
200,40.0,361.75,344.4,10.75,0.8465966813410092,0.134375,-500.8564987074932,-476.8347702967813,-24.021728410711887
201,40.5,361.34999999999997,343.9,11.25,0.8465966813410092,0.140625,-500.30268364326923,-476.14250146650147,-24.160182176767762
202,41.0,361.34999999999997,343.9,10.916666666666671,0.8799272593465607,0.1364583333333334,-384.2935254601654,-365.7355566784306,-18.557968781734814
203,41.5,361.75,342.9,12.583333333333329,0.8799272593465607,0.1572916666666666,-384.7189230253628,-364.67206276543715,-20.046860259925666
204,42.0,361.75,343.15,12.333333333333329,0.8799272593465607,0.15416666666666662,-384.7189230253628,-364.9379362436855,-19.780986781677314
205,42.5,362.15,342.9,13.25,0.8799272593465607,0.165625,-385.14432059056014,-364.67206276543715,-20.472257825122995
206,43.0,361.75,342.9,12.916666666666671,0.8799272593465607,0.1614583333333334,-384.7189230253628,-364.67206276543715,-20.046860259925666
207,43.5,361.95,343.15,12.666666666666671,0.8799272593465607,0.15833333333333338,-384.9316218079615,-364.9379362436855,-19.993685564276007
208,44.0,361.95,342.9,12.916666666666671,0.8799272593465607,0.1614583333333334,-384.9316218079615,-364.67206276543715,-20.25955904252436
209,44.5,361.95,343.15,12.666666666666671,0.8799272593465607,0.15833333333333338,-384.9316218079615,-364.9379362436855,-19.993685564276007
210,45.0,362.15,343.15,12.666666666666671,0.8799272593465607,0.15833333333333338,-385.14432059056014,-364.9379362436855,-20.206384346874643
211,45.5,361.75,342.9,12.916666666666671,0.8799272593465607,0.1614583333333334,-384.7189230253628,-364.67206276543715,-20.046860259925666
212,46.0,361.95,343.9,11.583333333333329,0.8799272593465607,0.1447916666666666,-384.9316218079615,-365.7355566784306,-19.196065129530894
213,46.5,361.75,343.9,11.25,0.8799272593465607,0.140625,-384.7189230253628,-365.7355566784306,-18.9833663469322
214,47.0,362.15,344.65,10.833333333333329,0.8799272593465607,0.1354166666666666,-385.14432059056014,-366.5331771131756,-18.61114347738453
215,47.5,362.34999999999997,344.9,10.583333333333329,0.8799272593465607,0.1322916666666666,-385.35701937315883,-366.79905059142396,-18.55796878173487
216,48.0,361.95,345.15,10.0,0.8799272593465607,0.125,-384.9316218079615,-367.0649240696724,-17.866697738289133
217,48.5,362.54999999999995,345.4,10.083333333333329,0.8799272593465607,0.1260416666666666,-385.5697181557575,-367.3307975479207,-18.238920607836803
218,49.0,361.95,345.4,10.083333333333329,0.8799272593465607,0.1260416666666666,-384.9316218079615,-367.3307975479207,-17.60082426004078
219,49.5,362.15,345.65,9.833333333333329,0.8799272593465607,0.1229166666666666,-385.14432059056014,-367.596671026169,-17.547649564391122
220,50.0,361.95,344.15,11.666666666666671,0.8799272593465607,0.1458333333333334,-384.9316218079615,-366.0014301566789,-18.9301916512826
221,50.5,362.34999999999997,344.9,10.916666666666671,0.8799272593465607,0.1364583333333334,-385.35701937315883,-366.79905059142396,-18.55796878173487
222,51.0,362.15,344.9,10.916666666666671,0.8799272593465607,0.1364583333333334,-385.14432059056014,-366.79905059142396,-18.34526999913618
223,51.5,361.95,345.15,10.666666666666671,0.8799272593465607,0.1333333333333334,-384.9316218079615,-367.0649240696724,-17.866697738289133
224,52.0,362.54999999999995,345.15,11.0,0.8799272593465607,0.1375,-385.5697181557575,-367.0649240696724,-18.504794086085155
225,52.5,362.54999999999995,345.15,11.333333333333329,0.8799272593465607,0.1416666666666666,-385.5697181557575,-367.0649240696724,-18.504794086085155
226,53.0,362.54999999999995,345.4,11.083333333333329,0.8799272593465607,0.13854166666666662,-385.5697181557575,-367.3307975479207,-18.238920607836803
227,53.5,362.95,345.65,11.166666666666671,0.9132578373521122,0.1395833333333334,-273.8050084710472,-260.7541016063299,-13.050906864717263
228,54.0,362.95,346.65,10.166666666666671,0.9132578373521122,0.12708333333333338,-273.8050084710472,-261.5084892863714,-12.296519184675788
229,54.5,362.75,347.15,9.333333333333329,0.9132578373521122,0.11666666666666661,-273.6541309350389,-261.8856831263921,-11.768447808646783
230,55.0,363.15,346.65,10.166666666666671,0.9132578373521122,0.12708333333333338,-273.9558860070555,-261.5084892863714,-12.447396720684083
231,55.5,363.15,346.4,10.416666666666671,0.9132578373521122,0.1302083333333334,-273.9558860070555,-261.31989236636105,-12.635993640694437
232,56.0,362.95,345.65,10.5,0.9132578373521122,0.13125,-273.8050084710472,-260.7541016063299,-13.050906864717263
233,56.5,362.75,345.65,10.5,0.9132578373521122,0.13125,-273.6541309350389,-260.7541016063299,-12.900029328708968
234,57.0,361.75,346.65,10.833333333333329,0.9132578373521122,0.1354166666666666,-272.8997432549975,-261.5084892863714,-11.391253968626074
235,57.5,362.34999999999997,347.15,9.666666666666671,0.9132578373521122,0.12083333333333339,-273.3523758630223,-261.8856831263921,-11.466692736630193
236,58.0,362.15,346.9,9.583333333333329,0.9132578373521122,0.1197916666666666,-273.201498327014,-261.6970862063818,-11.504412120632196
237,58.5,362.34999999999997,346.65,10.166666666666671,0.9132578373521122,0.12708333333333338,-273.3523758630223,-261.5084892863714,-11.843886576650902
238,59.0,362.54999999999995,346.65,10.166666666666671,0.9132578373521122,0.12708333333333338,-273.5032533990306,-261.5084892863714,-11.994764112659198
239,59.5,362.75,346.4,10.75,0.9132578373521122,0.134375,-273.6541309350389,-261.31989236636105,-12.334238568677847
240,60.0,362.54999999999995,346.65,10.166666666666671,0.9132578373521122,0.12708333333333338,-273.5032533990306,-261.5084892863714,-11.994764112659198
241,60.5,362.34999999999997,346.9,9.916666666666671,0.9132578373521122,0.12395833333333339,-273.3523758630223,-261.6970862063818,-11.655289656640491
242,61.0,362.54999999999995,346.65,10.166666666666671,0.9132578373521122,0.12708333333333338,-273.5032533990306,-261.5084892863714,-11.994764112659198
244,0.0,300.54999999999995,300.4,0.14999999999999858,0.3799685892632876,0.0018749999999999821,-2417.979106451141,-2416.7723293226513,-1.206777128489648
245,0.5,300.75,300.4,0.3500000000000014,0.3799685892632876,0.004375000000000018,-2419.5881426224614,-2416.7723293226513,-2.815813299810088
246,1.0,301.15,300.65,0.5,0.3799685892632876,0.00625,-2422.8062149651014,-2418.7836245368017,-4.022590428299736
247,1.5,302.34999999999997,300.9,1.4499999999999993,0.3799685892632876,0.018124999999999992,-2432.4604319930213,-2420.794919750951,-11.665512242070236
248,2.0,303.95,301.15,2.8000000000000007,0.3799685892632876,0.03500000000000001,-2445.3327213635816,-2422.8062149651014,-22.52650639848025
249,2.5,305.75,301.65,4.100000000000001,0.3799685892632876,0.05125000000000002,-2459.814046905462,-2426.8288053934016,-32.985241512060384
250,3.0,307.54999999999995,302.65,4.899999999999999,0.3799685892632876,0.061249999999999985,-2474.295372447342,-2434.8739862500015,-39.421386197340325
251,3.5,309.54999999999995,303.15,6.399999999999999,0.3799685892632876,0.07999999999999999,-2490.3857341605412,-2438.8965766783017,-51.489157482239534
252,4.0,311.15,304.15,7.0,0.3799685892632876,0.0875,-2503.258023531102,-2446.941757534901,-56.316265996200855
253,4.5,312.75,304.65,8.100000000000001,0.3799685892632876,0.10125000000000002,-2516.130312901662,-2450.9643479632014,-65.16596493846055
254,5.0,314.75,305.65,9.100000000000001,0.3799685892632876,0.11375000000000002,-2532.220674614862,-2459.0095288198013,-73.21114579506093
