,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
158,28.5,359.15,334.65,24.5,0.9132578373521122,0.30625,-270.93833528688964,-252.45583712587396,-18.482498161015712,DI Water 60,60
159,29.0,359.75,334.65,25.099999999999994,0.9132578373521122,0.3137499999999999,-271.3909678949145,-252.45583712587396,-18.9351307690406,DI Water 60,60
160,29.5,359.95,334.65,25.3,0.9132578373521122,0.31625,-271.5418454309228,-252.45583712587396,-19.08600830504889,DI Water 60,60
161,30.0,360.35,334.65,25.700000000000003,0.9132578373521122,0.32125,-271.8436005029393,-252.45583712587396,-19.387763377065426,DI Water 60,60
162,30.5,360.35,335.65,24.700000000000003,0.9132578373521122,0.30875,-271.8436005029393,-253.21022480591537,-18.63337569702398,DI Water 60,60
163,31.0,360.35,335.65,24.700000000000003,0.9132578373521122,0.30875,-271.8436005029393,-253.21022480591537,-18.63337569702398,DI Water 60,60
164,31.5,360.35,336.4,23.950000000000003,0.9465884153576638,0.299375,-164.45038560182607,-153.52049317733952,-10.929892424486551,DI Water 60,60
165,32.0,361.35,336.4,24.950000000000003,0.9465884153576638,0.311875,-164.90674854230568,-153.52049317733952,-11.38625536496616,DI Water 60,60
166,32.5,361.35,336.4,24.950000000000003,0.9465884153576638,0.311875,-164.90674854230568,-153.52049317733952,-11.38625536496616,DI Water 60,60
167,33.0,361.75,336.9,24.849999999999994,0.9465884153576638,0.3106249999999999,-165.08929371849754,-153.7486746475793,-11.340619070918253,DI Water 60,60
168,33.5,361.75,336.9,24.849999999999994,0.9465884153576638,0.3106249999999999,-165.08929371849754,-153.7486746475793,-11.340619070918253,DI Water 60,60
169,34.0,361.75,336.65,25.099999999999994,0.9465884153576638,0.3137499999999999,-165.08929371849754,-153.6345839124594,-11.454709806038151,DI Water 60,60
170,34.5,361.75,336.9,24.849999999999994,0.9465884153576638,0.3106249999999999,-165.08929371849754,-153.7486746475793,-11.340619070918253,DI Water 60,60
171,35.0,361.75,337.15,24.599999999999994,0.9465884153576638,0.3074999999999999,-165.08929371849754,-153.86276538269922,-11.22652833579832,DI Water 60,60
172,35.5,362.35,337.9,24.450000000000003,0.9465884153576638,0.305625,-165.36311148278529,-154.20503758805893,-11.158073894726355,DI Water 60,60
173,36.0,362.35,338.15,24.200000000000003,0.9465884153576638,0.3025,-165.36311148278529,-154.3191283231788,-11.043983159606483,DI Water 60,60
