,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
239,59.5,362.75,346.4,10.75,0.9132578373521122,0.134375,-273.6541309350389,-261.31989236636105,-12.334238568677849,Al2O3 DI Water 60,60
240,60.0,362.55,346.65,10.166666666666671,0.9132578373521122,0.1270833333333333,-273.5032533990306,-261.5084892863714,-11.994764112659198,Al2O3 DI Water 60,60
241,60.5,362.35,346.9,9.916666666666671,0.9132578373521122,0.1239583333333333,-273.3523758630223,-261.6970862063818,-11.655289656640493,Al2O3 DI Water 60,60
242,61.0,362.55,346.65,10.166666666666671,0.9132578373521122,0.1270833333333333,-273.5032533990306,-261.5084892863714,-11.994764112659198,Al2O3 DI Water 60,60
243,0.0,300.54999999999995,300.4,0.1499999999999985,0.3799685892632876,0.0018749999999999,-2417.979106451141,-2416.772329322652,-1.206777128489648,Al2O3 DI Water 60,60
244,0.5,300.75,300.4,0.3500000000000014,0.3799685892632876,0.004375,-2419.5881426224614,-2416.772329322652,-2.815813299810088,Al2O3 DI Water 60,60
245,1.0,301.15,300.65,0.5,0.3799685892632876,0.00625,-2422.8062149651014,-2418.7836245368017,-4.022590428299736,Al2O3 DI Water 60,60
246,1.5,302.35,300.9,1.4499999999999993,0.3799685892632876,0.0181249999999999,-2432.4604319930213,-2420.794919750951,-11.665512242070236,Al2O3 DI Water 60,60
247,2.0,303.95,301.15,2.8000000000000007,0.3799685892632876,0.035,-2445.3327213635816,-2422.8062149651014,-22.52650639848025,Al2O3 DI Water 60,60
248,2.5,305.75,301.65,4.100000000000001,0.3799685892632876,0.05125,-2459.814046905462,-2426.8288053934016,-32.985241512060384,Al2O3 DI Water 60,60
249,3.0,307.54999999999995,302.65,4.899999999999999,0.3799685892632876,0.0612499999999999,-2474.295372447342,-2434.873986250001,-39.421386197340325,Al2O3 DI Water 60,60
250,3.5,309.54999999999995,303.15,6.399999999999999,0.3799685892632876,0.0799999999999999,-2490.385734160541,-2438.8965766783017,-51.489157482239534,Al2O3 DI Water 60,60
251,4.0,311.15,304.15,7.0,0.3799685892632876,0.0875,-2503.258023531102,-2446.941757534901,-56.316265996200855,Al2O3 DI Water 60,60
252,4.5,312.75,304.65,8.100000000000001,0.3799685892632876,0.10125,-2516.130312901662,-2450.9643479632014,-65.16596493846055,Al2O3 DI Water 60,60
253,5.0,314.75,305.65,9.1,0.3799685892632876,0.11375,-2532.220674614862,-2459.0095288198013,-73.21114579506093,Al2O3 DI Water 60,60
254,5.5,316.75,306.15,10.6,0.4132991672688391,0.1325,-2326.8815525203486,-2249.0127460271656,-77.868806493183,Al2O3 DI Water 60,60
255,6.0,318.75,307.15,11.6,0.4132991672688391,0.145,-2341.573780160572,-2256.358859847277,-85.2149203132949,Al2O3 DI Water 60,60
256,6.5,320.35,307.4,12.950000000000005,0.4132991672688391,0.161875,-2353.32756227275,-2258.195388302305,-95.13217397044492,Al2O3 DI Water 60,60
257,7.0,322.35,308.65,13.700000000000005,0.4132991672688391,0.17125,-2368.019789912973,-2267.3780305774444,-100.64175933552906,Al2O3 DI Water 60,60
258,7.5,323.95,309.4,14.549999999999995,0.4132991672688391,0.1818749999999999,-2379.773572025152,-2272.887615942529,-106.88595608262358,Al2O3 DI Water 60,60
259,8.0,325.15,310.4,14.75,0.4132991672688391,0.184375,-2388.5889086092857,-2280.23372976264,-108.35517884664569,Al2O3 DI Water 60,60
260,8.5,326.95,310.65,16.299999999999997,0.4132991672688391,0.2037499999999999,-2401.811913485487,-2282.070258217668,-119.74165526781916,Al2O3 DI Water 60,60
261,9.0,328.35,311.9,16.450000000000003,0.4466297452743906,0.205625,-2200.370101532195,-2090.133804379143,-110.23629715305196,Al2O3 DI Water 60,60
262,9.5,329.75,312.4,17.35,0.4466297452743906,0.216875,-2209.751914055859,-2093.484451709023,-116.26746234683606,Al2O3 DI Water 60,60
263,10.0,331.35,313.15,18.200000000000003,0.4466297452743906,0.2275,-2220.473985511475,-2098.510422703843,-121.96356280763212,Al2O3 DI Water 60,60
264,10.5,332.95,313.9,19.05,0.4466297452743906,0.2381249999999999,-2231.196056967091,-2103.536393698663,-127.65966326842818,Al2O3 DI Water 60,60
265,11.0,333.95,314.15,19.8,0.4799603232799422,0.2474999999999999,-2038.0657872657252,-1917.2282289849609,-120.8375582807646,Al2O3 DI Water 60,60
266,11.5,335.15,315.4,19.75,0.4799603232799422,0.246875,-2045.3892756463777,-1924.8568627148072,-120.53241293157066,Al2O3 DI Water 60,60
267,12.0,336.54999999999995,315.65,20.9,0.4799603232799422,0.26125,-2053.9333454238053,-1926.3825894607764,-127.5507559630289,Al2O3 DI Water 60,60
