,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
346,00:28:50,334.15,313.9,20.25,0.5132909012854937,40,0.50625,90,0,1,-1852.7651205313896,-1740.4847264246694,-112.28039410672022
347,00:28:55,334.15,313.9,20.25,0.5132909012854937,40,0.50625,90,0,1,-1852.7651205313896,-1740.4847264246694,-112.28039410672022
348,00:29:00,334.15,313.9,20.25,0.5132909012854937,40,0.50625,90,0,1,-1852.7651205313896,-1740.4847264246694,-112.28039410672022
349,00:29:05,334.15,313.9,20.25,0.5132909012854937,40,0.50625,90,0,1,-1852.7651205313896,-1740.4847264246694,-112.28039410672022
350,00:29:10,334.15,313.9,20.25,0.5132909012854937,40,0.50625,90,0,1,-1852.7651205313896,-1740.4847264246694,-112.28039410672022
351,00:29:15,334.4,313.9,20.5,0.5132909012854937,40,0.5125,90,0,1,-1854.1512982364109,-1740.4847264246694,-113.6665718117415
352,00:29:20,334.4,313.9,20.5,0.5132909012854937,40,0.5125,90,0,1,-1854.1512982364109,-1740.4847264246694,-113.6665718117415
353,00:29:25,334.4,313.9,20.5,0.5132909012854937,40,0.5125,90,0,1,-1854.1512982364109,-1740.4847264246694,-113.6665718117415
354,00:29:30,334.4,313.9,20.5,0.5132909012854937,40,0.5125,90,0,1,-1854.1512982364109,-1740.4847264246694,-113.6665718117415
355,00:29:35,334.4,313.9,20.5,0.5132909012854937,40,0.5125,90,0,1,-1854.1512982364109,-1740.4847264246694,-113.6665718117415
356,00:29:40,334.4,313.9,20.5,0.5132909012854937,40,0.5125,90,0,1,-1854.1512982364109,-1740.4847264246694,-113.6665718117415
357,00:29:45,334.4,313.9,20.5,0.5132909012854937,40,0.5125,90,0,1,-1854.1512982364109,-1740.4847264246694,-113.6665718117415
358,00:29:50,334.4,313.9,20.5,0.5132909012854937,40,0.5125,90,0,1,-1854.1512982364109,-1740.4847264246694,-113.6665718117415
359,00:29:55,334.4,314.4,20.0,0.5132909012854937,40,0.5,90,0,1,-1854.1512982364109,-1743.2570818347117,-110.89421640169917
360,00:30:00,334.65,314.65,20.0,0.5132909012854937,40,0.5,90,0,1,-1855.5374759414321,-1744.643259539733,-110.89421640169917
361,00:30:05,334.65,314.65,20.0,0.5132909012854937,40,0.5,90,0,1,-1855.5374759414321,-1744.643259539733,-110.89421640169917
362,00:30:10,334.65,314.65,20.0,0.5132909012854937,40,0.5,90,0,1,-1855.5374759414321,-1744.643259539733,-110.89421640169917
363,00:30:15,334.9,314.4,20.5,0.5132909012854937,40,0.5125,90,0,1,-1856.9236536464534,-1743.2570818347117,-113.66657181174173
364,00:30:20,334.9,314.15,20.75,0.5132909012854937,40,0.51875,90,0,1,-1856.9236536464534,-1741.8709041296906,-115.05274951676279
365,00:30:25,335.15,314.4,20.75,0.5132909012854937,40,0.51875,90,0,1,-1858.3098313514745,-1743.2570818347117,-115.05274951676279
366,00:30:30,335.15,314.15,21.0,0.5132909012854937,40,0.525,90,0,1,-1858.3098313514745,-1741.8709041296906,-116.43892722178384
367,00:30:35,334.65,314.15,20.5,0.5132909012854937,40,0.5125,90,0,1,-1855.5374759414321,-1741.8709041296906,-113.6665718117415
368,00:30:40,334.9,314.4,20.5,0.5132909012854937,40,0.5125,90,0,1,-1856.9236536464534,-1743.2570818347117,-113.66657181174173
369,00:30:45,334.9,314.15,20.75,0.5132909012854937,40,0.51875,90,0,1,-1856.9236536464534,-1741.8709041296906,-115.05274951676279
370,00:30:50,334.9,314.4,20.5,0.5132909012854937,40,0.5125,90,0,1,-1856.9236536464534,-1743.2570818347117,-113.66657181174173
371,00:30:55,334.9,314.65,20.25,0.5132909012854937,40,0.50625,90,0,1,-1856.9236536464534,-1744.643259539733,-112.28039410672045
372,00:31:00,334.9,314.65,20.25,0.5132909012854937,40,0.50625,90,0,1,-1856.9236536464534,-1744.643259539733,-112.28039410672045
373,00:31:05,334.9,314.4,20.5,0.5132909012854937,40,0.5125,90,0,1,-1856.9236536464534,-1743.2570818347117,-113.66657181174173
374,00:31:10,334.9,314.4,20.5,0.5132909012854937,40,0.5125,90,0,1,-1856.9236536464534,-1743.2570818347117,-113.66657181174173
375,00:31:15,334.9,314.4,20.5,0.5132909012854937,40,0.5125,90,0,1,-1856.9236536464534,-1743.2570818347117,-113.66657181174173
376,00:31:20,334.65,314.4,20.25,0.5132909012854937,40,0.50625,90,0,1,-1855.5374759414321,-1743.2570818347117,-112.28039410672045
377,00:31:25,334.65,314.65,20.0,0.5132909012854937,40,0.5,90,0,1,-1855.5374759414321,-1744.643259539733,-110.89421640169917
378,00:31:30,334.9,314.65,20.25,0.5132909012854937,40,0.50625,90,0,1,-1856.9236536464534,-1744.643259539733,-112.28039410672045
379,00:31:35,334.9,314.65,20.25,0.5132909012854937,40,0.50625,90,0,1,-1856.9236536464534,-1744.643259539733,-112.28039410672045
380,00:31:40,334.9,314.15,20.75,0.5132909012854937,40,0.51875,90,0,1,-1856.9236536464534,-1741.8709041296906,-115.05274951676279
381,00:31:45,334.65,314.4,20.25,0.5132909012854937,40,0.50625,90,0,1,-1855.5374759414321,-1743.2570818347117,-112.28039410672045
382,00:31:50,334.65,314.65,20.0,0.5132909012854937,40,0.5,90,0,1,-1855.5374759414321,-1744.643259539733,-110.89421640169917
