,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
89,44.5,370.15,337.4,32.75,1.797184766059339,0.409375,1804.0536897152733,1644.4352692420186,159.61842047325467
90,45.0,369.15,338.4,30.75,1.797184766059339,0.384375,1799.1798448153268,1649.3091141419652,149.87073067336155
91,45.5,369.15,337.9,31.25,1.797184766059339,0.390625,1799.1798448153268,1646.8721916919922,152.3076531233346
92,46.0,370.47999999999996,337.9,32.58,1.797184766059339,0.407292,1805.6620585322555,1646.8721916919922,158.78986684026336
93,46.5,369.15,337.9,31.25,1.797184766059339,0.390625,1799.1798448153268,1646.8721916919922,152.3076531233346
94,47.0,369.15,337.9,31.25,1.797184766059339,0.390625,1799.1798448153268,1646.8721916919922,152.3076531233346
95,47.5,369.15,337.9,31.25,1.797184766059339,0.390625,1799.1798448153268,1646.8721916919922,152.3076531233346
96,48.0,369.47999999999996,337.4,32.08,1.797184766059339,0.401042,1800.788213632309,1644.4352692420186,156.3529443902903
97,48.5,369.82,337.65,32.17,1.797184766059339,0.402083,1802.445320898291,1645.6537304670053,156.7915904312856
98,49.0,370.15,337.9,32.25,1.797184766059339,0.403125,1804.0536897152733,1646.8721916919922,157.18149802328116
99,49.5,369.82,338.4,31.42,1.797184766059339,0.392708,1802.445320898291,1649.3091141419652,153.1362067563257
100,50.0,369.47999999999996,338.4,31.08,1.797184766059339,0.388542,1800.788213632309,1649.3091141419652,151.47909949034374
