,t(min),Te[C],Tc[C],P[mmHg],Q[W],alpha,beta,phase
390,00:32:30,75.8,53.25,560,60,90,0,1
391,00:32:35,76.2,53.25,560,60,90,0,1
392,00:32:40,76.4,53.25,560,60,90,0,1
393,00:32:45,76.2,53.0,560,60,90,0,1
394,00:32:50,75.8,52.75,560,60,90,0,1
395,00:32:55,76.0,53.25,560,60,90,0,1
396,00:33:00,76.0,53.25,560,60,90,0,1
397,00:33:05,75.8,53.25,560,60,90,0,1
398,00:33:10,75.8,53.5,560,60,90,0,1
399,00:33:15,75.8,53.25,560,60,90,0,1
400,00:33:20,76.4,53.25,560,60,90,0,1
401,00:33:25,76.6,53.5,560,60,90,0,1
402,00:33:30,76.6,53.25,560,60,90,0,1
403,00:33:35,76.6,53.0,560,60,90,0,1
404,00:33:40,76.8,53.25,560,60,90,0,1
405,00:33:45,76.8,52.75,560,60,90,0,1
406,00:33:50,76.6,52.75,560,60,90,0,1
407,00:33:55,76.2,52.75,560,60,90,0,1
408,00:34:00,76.0,52.75,560,60,90,0,1
409,00:34:05,76.4,52.75,560,60,90,0,1
410,00:34:10,76.8,52.75,560,60,90,0,1
411,00:34:15,76.8,52.5,560,60,90,0,1
412,00:34:20,77.0,52.25,560,60,90,0,1
413,00:34:25,76.8,52.5,560,60,90,0,1
414,00:34:30,77.2,52.75,560,60,90,0,1
415,00:34:35,77.0,53.25,560,60,90,0,1
416,00:34:40,77.2,53.25,560,60,90,0,1
417,00:34:45,77.2,53.5,560,60,90,0,1
418,00:34:50,77.2,53.75,560,60,90,0,1
419,00:34:55,76.8,53.25,560,60,90,0,1
420,00:35:00,77.0,53.25,560,60,90,0,1
421,00:35:05,77.0,53.5,560,60,90,0,1
422,00:35:10,77.4,53.5,560,60,90,0,1
423,00:35:15,77.6,53.25,560,60,90,0,1
424,00:35:20,77.4,53.25,560,60,90,0,1
425,00:35:25,77.6,53.25,560,60,90,0,1
426,00:35:30,77.4,53.5,560,60,90,0,1
427,00:35:35,77.6,53.5,560,60,90,0,1
428,00:35:40,77.2,53.5,560,60,90,0,1
429,00:35:45,77.2,53.25,560,60,90,0,1
430,00:35:50,77.4,53.25,560,60,90,0,1
431,00:35:55,77.8,53.25,560,60,90,0,1
432,00:36:00,77.6,53.25,560,60,90,0,1
433,00:36:05,77.6,52.75,560,60,90,0,1
434,00:36:10,77.2,53.0,560,60,90,0,1
435,00:36:15,77.6,53.25,560,60,90,0,1
436,00:36:20,77.8,53.25,560,60,90,0,1
437,00:36:25,77.8,53.25,560,60,90,0,1
438,00:36:30,77.2,53.0,560,60,90,0,1
439,00:36:35,77.4,53.0,560,60,90,0,1
440,00:36:40,77.6,53.25,560,60,90,0,1
